Processor,Time,Bags
BELT 1,12:41:00 AM,0
BELT 2,12:41:00 AM,0
BELT 4,12:41:00 AM,0
BELT 3,12:41:00 AM,0
BELT 1,12:42:00 AM,0
BELT 2,12:42:00 AM,0
BELT 4,12:42:00 AM,0
BELT 3,12:42:00 AM,0
BELT 1,12:43:00 AM,0
BELT 2,12:43:00 AM,0
BELT 4,12:43:00 AM,0
BELT 3,12:43:00 AM,0
BELT 1,12:44:00 AM,0
BELT 2,12:44:00 AM,0
BELT 4,12:44:00 AM,0
BELT 3,12:44:00 AM,0
BELT 1,12:45:00 AM,0
BELT 2,12:45:00 AM,0
BELT 4,12:45:00 AM,0
BELT 3,12:45:00 AM,0
BELT 1,12:46:00 AM,0
BELT 2,12:46:00 AM,0
BELT 4,12:46:00 AM,0
BELT 3,12:46:00 AM,0
BELT 1,12:47:00 AM,0
BELT 2,12:47:00 AM,0
BELT 4,12:47:00 AM,0
BELT 3,12:47:00 AM,0
BELT 1,12:48:00 AM,0
BELT 2,12:48:00 AM,0
BELT 4,12:48:00 AM,0
BELT 3,12:48:00 AM,0
BELT 1,12:49:00 AM,0
BELT 2,12:49:00 AM,0
BELT 4,12:49:00 AM,0
BELT 3,12:49:00 AM,0
BELT 1,12:50:00 AM,0
BELT 2,12:50:00 AM,0
BELT 4,12:50:00 AM,0
BELT 3,12:50:00 AM,0
BELT 1,12:51:00 AM,0
BELT 2,12:51:00 AM,0
BELT 4,12:51:00 AM,0
BELT 3,12:51:00 AM,0
BELT 1,12:52:00 AM,0
BELT 2,12:52:00 AM,0
BELT 4,12:52:00 AM,0
BELT 3,12:52:00 AM,0
BELT 1,12:53:00 AM,0
BELT 2,12:53:00 AM,0
BELT 4,12:53:00 AM,0
BELT 3,12:53:00 AM,0
BELT 1,12:54:00 AM,0
BELT 2,12:54:00 AM,0
BELT 4,12:54:00 AM,0
BELT 3,12:54:00 AM,0
BELT 1,12:55:00 AM,0
BELT 2,12:55:00 AM,0
BELT 4,12:55:00 AM,0
BELT 3,12:55:00 AM,0
BELT 1,12:56:00 AM,0
BELT 2,12:56:00 AM,0
BELT 4,12:56:00 AM,0
BELT 3,12:56:00 AM,0
BELT 1,12:57:00 AM,0
BELT 2,12:57:00 AM,0
BELT 4,12:57:00 AM,0
BELT 3,12:57:00 AM,0
BELT 1,12:58:00 AM,0
BELT 2,12:58:00 AM,0
BELT 4,12:58:00 AM,0
BELT 3,12:58:00 AM,0
BELT 1,12:59:00 AM,0
BELT 2,12:59:00 AM,0
BELT 4,12:59:00 AM,0
BELT 3,12:59:00 AM,0
BELT 1,1:00:00 AM,0
BELT 2,1:00:00 AM,0
BELT 4,1:00:00 AM,0
BELT 3,1:00:00 AM,0
BELT 1,1:01:00 AM,0
BELT 2,1:01:00 AM,0
BELT 4,1:01:00 AM,0
BELT 3,1:01:00 AM,0
BELT 1,1:02:00 AM,0
BELT 2,1:02:00 AM,0
BELT 4,1:02:00 AM,0
BELT 3,1:02:00 AM,0
BELT 1,1:03:00 AM,0
BELT 2,1:03:00 AM,0
BELT 4,1:03:00 AM,0
BELT 3,1:03:00 AM,0
BELT 1,1:04:00 AM,0
BELT 2,1:04:00 AM,0
BELT 4,1:04:00 AM,0
BELT 3,1:04:00 AM,0
BELT 1,1:05:00 AM,0
BELT 2,1:05:00 AM,0
BELT 4,1:05:00 AM,0
BELT 3,1:05:00 AM,0
